data,peso
2020-02-10,93.4
2020-02-11,92.4
2020-02-12,91.4
2020-02-13,90.4
2020-02-14,89.8
2020-02-15,90
2020-02-16,90.2
2020-02-17,90.3
2020-02-18,89.9
2020-02-19,89.5
2020-02-20,89.3
2020-02-21,89
2020-02-22,88.5
2020-02-23,88.8
2020-02-24,88.6
2020-02-25,88.4
2020-02-26,88.2
2020-02-27,87.7
2020-02-28,87.7
2020-02-29,87.7
2020-03-01,87.6
2020-03-02,87.5
2020-03-03,87.4
2020-03-04,87.3
2020-03-05,87
2020-03-06,86.4
2020-03-07,85.8
2020-03-08,85.8
2020-03-09,85.7
2020-03-10,85.7
2020-03-11,85.6
2020-03-12,85.5
2020-03-13,85.5
2020-03-14,84.6
2020-03-15,84.5
2020-03-16,84.4
2020-03-17,84.4
2020-03-18,84.3
2020-03-19,83.5
2020-03-20,83.5
